Unnamed: 0,land,regbez,kreis,gemeinde,jahr,monat,stunde,wochentag,kategorie,art,typ,licht,strzustand,ist_rad,ist_pkw,ist_fuss,ist_krad,ist_gkfz,ist_sonstige,linrefx,linrefy,xgcswgs84,ygcswgs84,ags
62401,9,1,62,0,2016,1,11,2,3,0,2,0,0,1,1,0,0,0.0,0,687087.579,5335119.466,11.51501443,48.141794526,09162000
62409,9,1,62,0,2016,1,8,6,3,1,6,2,0,0,1,0,0,0.0,0,688689.1535,5336340.2948,11.537063663,48.152294546,09162000
62442,9,1,62,0,2016,1,16,7,3,5,2,1,1,0,1,0,0,0.0,0,680301.1673,5335019.0639,11.423828596,48.142851426,09162000
62486,9,1,62,0,2016,1,19,6,3,2,6,2,0,0,1,0,0,0.0,0,700540.2113,5332679.5888,11.694509219,48.115769777,09162000
62552,9,1,62,0,2016,1,19,6,3,2,2,2,2,0,1,0,0,0.0,0,684577.2651,5335407.3737,11.481426186,48.145115594,09162000
62555,9,1,62,0,2016,1,19,1,3,4,2,2,1,0,1,0,0,0.0,0,682475.374,5335538.207,11.453251811,48.146897984,09162000
62581,9,1,62,0,2016,1,9,4,3,3,2,0,0,1,0,0,0,0.0,0,684650.7459,5329120.3241,11.479690612,48.088582758,09162000
62619,9,1,62,0,2016,1,12,6,3,2,6,0,1,0,1,0,0,0.0,0,700007.6843,5332903.9916,11.687467474,48.117953971,09162000
62646,9,1,62,0,2016,1,8,5,3,3,6,0,0,0,1,0,0,0.0,0,686304.756,5330756.2956,11.502594533,48.102806329,09162000
62708,9,1,62,0,2016,1,7,6,3,1,6,0,1,0,1,0,0,0.0,0,685074.3673,5342613.8943,11.49124074,48.209746295,09162000
62715,9,1,62,0,2016,1,10,4,3,2,6,0,0,0,1,0,0,0.0,0,687921.3661,5335004.4648,11.526160989,48.140515155,09162000
62720,9,1,62,0,2016,1,12,7,3,3,6,0,0,0,1,0,0,0.0,1,688356.9716,5340194.9325,11.534309331,48.187038933,09162000
62778,9,1,62,0,2016,1,23,7,2,3,6,2,1,0,1,0,1,0.0,0,688689.266,5336278.167,11.53703763,48.1517361,09162000
62805,9,1,62,0,2016,1,19,1,3,6,2,2,1,0,1,1,0,0.0,0,681881.7977,5335695.3632,11.445346296,48.148480614,09162000
62860,9,1,62,0,2016,1,22,7,3,5,3,2,1,0,1,0,0,0.0,0,694915.458,5332751.509,11.619049536,48.11816257,09162000
62878,9,1,62,0,2016,2,10,2,3,5,3,0,0,0,1,0,0,0.0,1,694546.5823,5336718.0486,11.615909887,48.15392501,09162000
62881,9,1,62,0,2016,1,17,4,3,2,6,2,0,0,1,0,0,0.0,1,686588.1601,5333286.1007,11.507504471,48.125462257,09162000
62887,9,1,62,0,2016,1,19,4,3,2,6,2,0,0,1,0,0,0.0,0,685752.4497,5333219.7041,11.496255743,48.125109849,09162000
62933,9,1,62,0,2016,1,14,7,2,2,6,0,0,0,1,0,0,0.0,0,694586.9155,5331233.4477,11.613947218,48.104619266,09162000
62947,9,1,62,0,2016,2,5,2,3,9,1,2,1,0,1,0,0,0.0,0,680685.826,5339137.621,11.430744242,48.179763323,09162000
63000,9,1,62,0,2016,2,5,6,3,5,3,2,1,1,1,0,0,0.0,0,684238.1133,5343355.3771,11.480317156,48.216654328,09162000
63013,9,1,62,0,2016,2,7,4,3,5,3,0,1,0,1,0,0,0.0,0,689040.6735,5329543.5477,11.538771374,48.09110003,09162000
63014,9,1,62,0,2016,2,7,2,3,2,6,0,0,0,1,0,0,0.0,0,695092.3506,5343543.5489,11.62637462,48.215101642,09162000
63024,9,1,62,0,2016,2,19,5,3,1,5,2,1,0,1,0,0,0.0,0,686387.4015,5335209.3785,11.505650667,48.142808191,09162000
63065,9,1,62,0,2016,2,4,4,3,2,6,2,0,0,1,0,0,1.0,0,695498.9121,5344245.4912,11.632165439,48.221285128,09162000
63071,9,1,62,0,2016,2,8,3,3,2,6,0,0,0,1,0,0,0.0,0,683633.759,5331992.4192,11.467282399,48.114692891,09162000
63075,9,1,62,0,2016,2,14,2,3,5,3,0,0,1,1,0,0,0.0,0,695622.2435,5333951.1094,11.629086664,48.128727263,09162000
63102,9,1,62,0,2016,2,22,7,3,2,6,2,0,0,1,0,0,0.0,1,696616.3598,5343083.0757,11.646655095,48.210492947,09162000
63118,9,1,62,0,2016,2,7,4,3,5,3,0,1,1,0,0,0,0.0,1,688712.9312,5336283.1465,11.537357707,48.151773836,09162000
63133,9,1,62,0,2016,2,8,3,3,2,6,0,0,0,1,0,0,0.0,0,689318.2872,5340959.1108,11.547571059,48.193621595,09162000
63175,9,1,62,0,2016,2,18,4,2,6,2,2,1,0,1,1,0,0.0,0,682948.1216,5339410.0371,11.461266952,48.181564624,09162000
63179,9,1,62,0,2016,2,8,7,3,2,6,0,0,0,1,0,0,0.0,0,693901.2786,5331659.6604,11.604940424,48.108658988,09162000
63187,9,1,62,0,2016,2,16,5,3,2,6,0,1,0,1,0,0,0.0,0,694178.9342,5340246.153,11.612582962,48.18574642,09162000
63199,9,1,62,0,2016,2,17,2,3,5,3,1,0,1,1,0,0,0.0,0,687423.655,5332808.143,11.518511073,48.120920809,09162000
63235,9,1,62,0,2016,2,16,2,3,2,4,0,0,0,1,1,0,0.0,0,688563.3132,5334978.2293,11.534770098,48.14008943,09162000
63238,9,1,62,0,2016,2,7,4,3,2,6,1,1,0,1,0,0,0.0,0,684530.0094,5332973.0492,11.479737066,48.123248288,09162000
63245,9,1,62,0,2016,2,18,6,3,8,7,2,0,0,1,0,0,0.0,0,700216.65,5335479.2207,11.691482028,48.141032018,09162000
63263,9,1,62,0,2016,2,8,6,2,2,6,0,1,0,1,0,0,0.0,0,690766.6843,5332041.588,11.563043993,48.113038217,09162000
63318,9,1,62,0,2016,2,17,2,3,2,6,1,0,0,1,0,0,0.0,0,680489.6055,5335063.4523,11.426378273,48.143196998,09162000
63336,9,1,62,0,2016,2,11,4,3,9,7,0,1,0,0,0,0,0.0,1,678530.6475,5336499.8626,11.400669982,48.156661693,09162000
63340,9,1,62,0,2016,2,15,4,3,5,2,0,0,0,1,0,0,0.0,0,687373.1744,5335072.501,11.518829173,48.141288351,09162000
63360,9,1,62,0,2016,2,1,4,3,9,7,2,0,0,1,0,0,0.0,0,686548.074,5335194.7304,11.507802063,48.142629438,09162000
63370,9,1,62,0,2016,2,7,3,3,1,6,0,0,0,1,0,0,0.0,0,695275.8703,5344165.6497,11.629128955,48.220636246,09162000
63379,9,1,62,0,2016,2,13,2,3,5,3,0,0,0,1,0,0,0.0,1,693507.238,5331529.221,11.599593231,48.107606454,09162000
63385,9,1,62,0,2016,2,9,3,3,2,6,0,0,0,1,0,0,0.0,0,681103.3823,5340837.5585,11.437081076,48.194924755,09162000
63424,9,1,62,0,2016,2,21,4,3,5,3,2,1,0,1,0,0,0.0,0,692256.516,5331174.87,11.582649011,48.104800296,09162000
63433,9,1,62,0,2016,2,12,6,3,4,2,0,0,1,1,0,0,0.0,0,687381.0822,5335071.1046,11.518934755,48.141273471,09162000
63440,9,1,62,0,2016,2,18,6,3,2,6,1,0,0,1,0,0,0.0,0,694538.307,5334820.256,11.61493161,48.136870989,09162000
63463,9,1,62,0,2016,2,7,4,3,2,6,1,0,0,1,0,0,0.0,0,685409.2169,5333081.52,11.491587588,48.12396784,09162000
63467,9,1,62,0,2016,2,7,6,3,9,7,0,0,0,1,0,0,0.0,0,685291.7074,5329902.5072,11.48862916,48.095427453,09162000
63498,9,1,62,0,2016,2,7,2,3,9,7,0,0,0,1,0,0,0.0,0,687613.6233,5333300.8537,11.521278069,48.12529348,09162000
63513,9,1,62,0,2016,2,9,4,3,2,6,0,1,0,1,0,0,0.0,0,694354.0222,5341087.0182,11.615320902,48.193250162,09162000
63538,9,1,62,0,2016,2,13,6,3,2,6,0,0,0,1,0,0,0.0,0,686169.8014,5335223.159,11.502734338,48.142995765,09162000
63548,9,1,62,0,2016,2,7,3,3,4,3,1,0,0,1,0,1,0.0,0,685946.094,5340778.9353,11.502159393,48.192998403,09162000
63574,9,1,62,0,2016,2,15,3,3,3,6,0,0,0,1,0,0,1.0,0,694560.0056,5334701.4206,11.615168685,48.135796311,09162000
63600,9,1,62,0,2016,2,9,3,3,5,3,0,1,0,1,0,0,1.0,0,682792.3676,5340468.2152,11.459628875,48.191120989,09162000
63601,9,1,62,0,2016,2,10,2,3,2,6,0,0,0,1,0,0,1.0,0,692252.0628,5331176.9458,11.582590188,48.104820297,09162000
63618,9,1,62,0,2016,2,17,3,3,3,6,2,0,0,1,0,0,1.0,0,692032.6895,5331508.0173,11.579795374,48.107862094,09162000
63622,9,1,62,0,2016,2,6,5,3,0,1,2,0,0,0,0,1,0.0,0,690058.863,5339312.4848,11.556789691,48.178600659,09162000
63633,9,1,62,0,2016,2,13,6,3,6,7,0,0,0,0,1,0,1.0,0,682689.256,5335988.1,11.456317648,48.150880538,09162000
63638,9,1,62,0,2016,2,19,7,3,5,2,2,1,0,1,1,0,0.0,0,692033.4919,5341287.0398,11.584218355,48.195753772,09162000
63671,9,1,62,0,2016,2,0,3,3,6,2,2,1,0,1,1,0,0.0,0,692192.0427,5342934.2264,11.587095629,48.210510209,09162000
63673,9,1,62,0,2016,2,6,2,3,5,2,1,1,0,1,0,0,1.0,0,693505.852,5331528.7313,11.599574409,48.107602474,09162000
63694,9,1,62,0,2016,2,20,3,3,6,4,2,1,0,1,1,0,0.0,0,682922.3314,5335494.3086,11.459236238,48.146375029,09162000
63695,9,1,62,0,2016,2,18,7,3,2,6,2,1,0,1,0,0,0.0,0,694648.8703,5331730.0773,11.615005147,48.109063868,09162000
63703,9,1,62,0,2016,2,13,5,3,3,6,0,0,0,1,0,0,1.0,0,683362.3841,5342559.8095,11.468195078,48.209757019,09162000
63763,9,1,62,0,2016,2,10,6,2,6,4,0,0,0,1,1,0,0.0,0,694443.7095,5331868.1818,11.61231484,48.110367762,09162000
63764,9,1,62,0,2016,2,18,7,3,0,3,2,0,1,1,0,0,0.0,0,684288.2922,5335411.6292,11.477546895,48.14523762,09162000
63798,9,1,62,0,2016,2,18,2,3,6,7,2,0,0,1,1,0,0.0,0,678929.536,5338757.687,11.406978868,48.176845118,09162000
63820,9,1,62,0,2016,2,23,5,3,2,6,2,0,0,1,0,0,0.0,0,688690.0282,5331696.8163,11.535019056,48.110557973,09162000
